$JDAY,TDG%
899,113.63
900,113.84
901,113.73
902,113.74
903,113.03
904,112.83
905,113.58
906,113.77
907,112.8
908,112.03
909,111.76
910,112.8
911,113.46
912,113.24
913,113.51
914,113.61
915,113.51
916,111.68
917,111.83
918,111.67
919,111.23
920,110.01
921,109.62
922,110.57
923,110.19
924,109.17
925,109.13
926,109.74
927,110.41
928,111.1
929,110.29
930,110.12
931,110.56
932,110.16
933,110.64
934,110.85
935,110.42
936,110.43
937,109.96
938,110.48
939,109.09
940,109.94
941,110.46
942,110.56
943,110.31
944,110.41
945,110.27
946,109.49
947,109.83
948,109.46
949,109.45
950,109.32
951,108.94
952,108.97
953,108.74
954,108.63
955,108.43
956,108.21
957,107.76
958,107.28
959,106.73
960,106.33
961,105.97
962,105.98
963,105.49
964,105.34
965,105.32
966,105.83
967,105.69
968,105.27
969,104.79
970,104.75
971,105.34
972,103.97
973,103.55
974,103.06
975,103.67
976,104.05
977,104.23
978,103.47
979,103.73
980,102.85
981,102.1
982,102.56
983,102.96
984,101.55
985,101.61
986,102.08
987,102.55
988,102.05
989,102.32
990,101.61
991,101.4
992,100.65
993,100.51
994,101.38
995,101.22
996,100.84
997,100.5
998,100.37
999,100.75
1000,99.34
1001,98.98
1002,100.69
1003,101.26
1004,100.39
1005,98.71
1006,98.17
1007,97.42
1008,96.64
1009,97.02
1010,97.62
1011,98.9
1012,98.33
1013,97.54
1014,97.65
1015,97.15
1016,97.11
1017,96.32
1018,95.97
1019,95.95
1020,96.89
1021,95.79
1022,95.56
1023,95.91
1024,96.17
1025,96.25
1026,96.12
1027,96.07
1028,96.01
1029,95.63
1030,95.95
1031,97.34
1032,97.02
1033,96.74
1034,96.51
1035,96.63
1036,96.01
1037,97.73
1038,97.17
1039,96.31
1040,95.94
1041,95.37
1042,96.88
1043,97.12
1044,96.43
1045,96.33
1046,95.93
1047,95.68
1048,96.02
1049,97.36
1050,97.76
1051,98.32
1052,96.6
1053,97.57
1054,98.02
1055,95.32
1056,93.77
1057,93.79
1058,94.62
1059,95.28
1060,94.96
1061,95.21
1062,95.44
1063,95.4
1064,95.01
1065,94.93
1066,96.1
1067,96.44
1068,95.06
1069,94.46
1070,94.43
1071,94.69
1072,94.39
1073,94.08
1074,94.05
1075,94.04
1076,93.87
1077,94.37
1078,93.96
1079,93.93
1080,94.48
1081,94.22
1082,94.96
1083,95.45
1084,94.9
1085,95.16
1086,94.71
1087,94.08
1088,94.77
1089,93.81
1090,93.86
1091,94.31
1092,94.73
1093,94.54
1094,94.66
1095,95
1096,95.07
1097,94.62
1098,96.36
1099,96.84
1100,95.15
1101,94.24
1102,94.81
1103,95.38
1104,96.31
1105,96.85
1106,96.77
1107,98.6
1108,96.64
1109,95.78
1110,94.97
1111,95.2
1112,95.05
1113,95.51
1114,95.94
1115,96.5
1116,95.78
1117,95.89
1118,96.13
1119,95.46
1120,95.31
1121,95.42
1122,96.54
1123,96.54
1124,96.53
1125,98.24
1126,98.54
1127,98.01
1128,97.31
1129,98.27
1130,98.46
1131,97.02
1132,96.12
1133,96.91
1134,97.66
1135,96.51
1136,97.61
1137,98.25
1138,98.96
1139,99.91
1140,99.64
1141,100.13
1142,100.13
1143,100.48
1144,101.42
1145,100.97
1146,99.48
1147,99.44
1148,99.07
1149,98.9
1150,99.09
1151,99.24
1152,98.25
1153,98.72
1154,99.9
1155,100.08
1156,99.77
1157,99.63
1158,99.9
1159,99.65
1160,100.17
1161,100.44
1162,98.71
1163,99.01
1164,99.86
1165,100.05
1166,98.41
1167,98.52
1168,99.21
1169,99.82
1170,98.86
1171,99.85
1172,99.71
1173,99.34
1174,100.32
1175,99.26
1176,98.52
1177,98.81
1178,99.13
1179,99.29
1180,101
1181,101.84
1182,101.46
1183,101
1184,101.78
1185,101.84
1186,101.72
1187,102.46
1188,102.44
1189,102.67
1190,103.38
1191,102.53
1192,101.96
1193,101.49
1194,102.79
1195,102.98
1196,102.66
1197,104.01
1198,104.48
1199,103.88
1200,104.63
1201,105.69
1202,105.6
1203,106.34
1204,106.48
1205,111.91
1206,112.89
1207,113.94
1208,114
1209,114.22
1210,115.19
1211,116.05
1212,109.11
1213,106.96
1214,105.16
1215,104.09
1216,106.58
1217,115.37
1218,114.33
1219,115.33
1220,116.6
1221,115.65
1222,116.54
1223,116.86
1224,117.4
1225,114.9
1226,108.43
1227,107.75
1228,107.6
1229,108.46
1230,109.47
1231,110.63
1232,111.43
1233,112.38
1234,112.37
1235,112.04
1236,111.81
1237,111.89
1238,112.69
1239,113.78
1240,114.38
1241,114.87
1242,115.33
1243,115.4
1244,117.13
1245,117.79
1246,118.07
1247,118.45
1248,117.41
1249,116.54
1250,116.12
1251,115.92
1252,114.49
1253,114.63
1254,115.03
1255,115.25
1256,115.65
1257,115.64
1258,115.38
1259,116.02
1260,115.12
1261,115.2
1262,115.95
1263,115.81
1264,114.8
1265,115.22
1266,115.51
1267,115.73
1268,115.7
1269,115.7
1270,115.93
1271,115.83
1272,115.87
1273,116.75
1274,116.81
1275,115.9
1276,114.75
1277,113.98
1278,114.3
1279,114.49
1280,114.43
1281,113.19
1282,112.67
1283,112.64
1284,112.43
1285,113.12
1286,113.73
1287,113.77
1288,113.66
