                                                                              Part#,Seg#,XLocationwithinSegmentfromUpstreamSide(m),Layer#,VerticalDistfromTop(m),LateralDistfromLeftBank,Branch#,ParticleInModel(=0),JDAYleftsystem,DetentionTime(days),RemovalMechanism,SedVelocity(m/d),DateStart
     73,     53.000,   385.404,   147.000,     0.113,    69.546,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     74,     50.000,   341.873,   135.000,     1.509,   390.517,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     75,     51.000,   179.754,   125.000,     1.141,   356.293,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     76,     51.000,   399.926,   125.000,     0.716,   456.661,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     77,     52.000,   220.624,   148.000,     1.939,   150.749,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     78,     52.000,   122.359,   148.000,     0.509,   173.160,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     79,     52.000,   315.088,   125.000,     0.328,   576.632,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     80,     51.000,   135.027,   122.000,     0.183,   327.922,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     81,     52.000,   145.632,   149.000,     0.830,   120.106,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     82,     50.000,    26.196,   143.000,     0.781,   365.446,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     83,     50.000,   480.696,   139.000,     0.896,   362.123,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     84,     52.000,   458.652,   149.000,     1.213,   156.123,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     85,     50.000,    51.188,   139.000,     1.237,   369.609,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     86,     50.000,   459.588,   129.000,     1.590,   434.631,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     87,     50.000,   112.242,   133.000,     0.186,   400.551,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     88,     51.000,   220.468,   128.000,     0.506,   473.424,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     89,     55.000,   230.076,   125.000,     0.689,   585.176,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     90,     51.000,   393.712,   137.000,     0.797,   325.673,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     91,     50.000,   425.733,   140.000,     1.269,   345.584,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     92,     52.000,   115.453,   125.000,     1.502,   536.244,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     93,     52.000,   216.302,   131.000,     0.423,   592.778,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     94,     51.000,   498.276,   130.000,     1.276,   534.022,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     95,     52.000,   140.759,   149.000,     1.102,   150.412,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     96,     59.000,   237.073,   173.000,     0.269,     7.803,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     97,     56.000,    86.739,   125.000,     0.566,   457.073,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     98,     53.000,   125.927,   128.000,     1.834,   499.640,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
     99,     51.000,   481.114,   131.000,     0.672,   493.556,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    100,     51.000,   448.036,   131.000,     0.795,   462.306,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    101,     51.000,   447.541,   131.000,     0.773,   490.216,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    102,     52.000,   194.835,   130.000,     1.262,   440.556,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    103,     51.000,   256.244,   132.000,     0.849,   448.837,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    104,     53.000,     7.947,   126.000,     0.028,   544.700,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    105,     51.000,    55.277,   130.000,     1.774,   465.842,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    106,    107.000,   347.623,   104.000,     1.441,   280.882,     3.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    107,    107.000,    62.529,   106.000,     0.109,   294.977,     3.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    108,     51.000,   221.481,   106.000,     1.264,   793.552,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    109,    107.000,   451.493,   104.000,     1.010,   311.177,     3.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    110,    106.000,   513.469,   105.000,     1.582,   298.364,     3.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    111,     44.000,    33.711,   106.000,     1.929,   987.580,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    112,     53.000,   196.088,   106.000,     0.758,   727.069,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    113,     47.000,   460.634,   106.000,     1.620,   779.078,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
    114,     55.000,   398.605,   107.000,     1.114,   672.331,     1.000,     0.000,     0.000,     0.000,     0.000,  0.0000,   4384.5000
