                    JDAY,WB,VOLIN(m3),VOLPR(m3),VOLOUT(m3),VOLWD(m3),VOLEV(m3),VOLDT(m3),VOLTRB(m3),VOLICE(m3),%VOLerror
 40624.999,   1,  0.24660868E+11,   0.00000000E+00,  -0.24905977E+11,   0.00000000E+00,   0.00000000E+00,   0.26348542E+09,   0.00000000E+00,   0.00000000E+00,   0.11537693E-07,
 40625.999,   1,  0.24947677E+11,   0.00000000E+00,  -0.25213505E+11,   0.00000000E+00,   0.00000000E+00,   0.28711830E+09,   0.00000000E+00,   0.00000000E+00,   0.90394774E-08,
 40627.000,   1,  0.25267067E+11,   0.00000000E+00,  -0.25540184E+11,   0.00000000E+00,   0.00000000E+00,   0.29312976E+09,   0.00000000E+00,   0.00000000E+00,   0.10734522E-07,
 40628.000,   1,  0.25572031E+11,   0.00000000E+00,  -0.25842627E+11,   0.00000000E+00,   0.00000000E+00,   0.28370919E+09,   0.00000000E+00,   0.00000000E+00,   0.18510992E-07,
 40629.000,   1,  0.25871070E+11,   0.00000000E+00,  -0.26136959E+11,   0.00000000E+00,   0.00000000E+00,   0.27705320E+09,   0.00000000E+00,   0.00000000E+00,   0.23667396E-07,
 40629.999,   1,  0.26166590E+11,   0.00000000E+00,  -0.26412186E+11,   0.00000000E+00,   0.00000000E+00,   0.26107965E+09,   0.00000000E+00,   0.00000000E+00,   0.16473736E-07,
 40631.000,   1,  0.26422742E+11,   0.00000000E+00,  -0.26670946E+11,   0.00000000E+00,   0.00000000E+00,   0.26274102E+09,   0.00000000E+00,   0.00000000E+00,   0.19489980E-07,
 40631.999,   1,  0.26675140E+11,   0.00000000E+00,  -0.26961182E+11,   0.00000000E+00,   0.00000000E+00,   0.30091419E+09,   0.00000000E+00,   0.00000000E+00,   0.19274807E-07,
 40633.000,   1,  0.26971874E+11,   0.00000000E+00,  -0.27280056E+11,   0.00000000E+00,   0.00000000E+00,   0.32478593E+09,   0.00000000E+00,   0.00000000E+00,   0.17539382E-07,
 40634.000,   1,  0.27301096E+11,   0.00000000E+00,  -0.27608160E+11,   0.00000000E+00,   0.00000000E+00,   0.32524377E+09,   0.00000000E+00,   0.00000000E+00,   0.17655417E-07,
 40635.000,   1,  0.27630751E+11,   0.00000000E+00,  -0.27936894E+11,   0.00000000E+00,   0.00000000E+00,   0.32671887E+09,   0.00000000E+00,   0.00000000E+00,   0.15550904E-07,
 40635.999,   1,  0.27954226E+11,   0.00000000E+00,  -0.28261000E+11,   0.00000000E+00,   0.00000000E+00,   0.32705988E+09,   0.00000000E+00,   0.00000000E+00,   0.16352789E-07,
 40636.999,   1,  0.28292760E+11,   0.00000000E+00,  -0.28604464E+11,   0.00000000E+00,   0.00000000E+00,   0.33424742E+09,   0.00000000E+00,   0.00000000E+00,   0.13913459E-07,
 40637.999,   1,  0.28640054E+11,   0.00000000E+00,  -0.28954010E+11,   0.00000000E+00,   0.00000000E+00,   0.33228879E+09,   0.00000000E+00,   0.00000000E+00,   0.15292652E-07,
 40639.000,   1,  0.28991643E+11,   0.00000000E+00,  -0.29306467E+11,   0.00000000E+00,   0.00000000E+00,   0.31961323E+09,   0.00000000E+00,   0.00000000E+00,   0.63120466E-07,
 40640.000,   1,  0.29354167E+11,   0.00000000E+00,  -0.29677936E+11,   0.00000000E+00,   0.00000000E+00,   0.32858448E+09,   0.00000000E+00,   0.00000000E+00,   0.72252009E-07,
 40641.000,   1,  0.29717113E+11,   0.00000000E+00,  -0.30047530E+11,   0.00000000E+00,   0.00000000E+00,   0.34764806E+09,   0.00000000E+00,   0.00000000E+00,   0.22613450E-07,
 40642.000,   1,  0.30090200E+11,   0.00000000E+00,  -0.30423913E+11,   0.00000000E+00,   0.00000000E+00,   0.35141905E+09,   0.00000000E+00,   0.00000000E+00,   0.24455352E-07,
 40643.000,   1,  0.30473340E+11,   0.00000000E+00,  -0.30811397E+11,   0.00000000E+00,   0.00000000E+00,   0.35475872E+09,   0.00000000E+00,   0.00000000E+00,   0.24986399E-07,
 40643.999,   1,  0.30857360E+11,   0.00000000E+00,  -0.31203934E+11,   0.00000000E+00,   0.00000000E+00,   0.36474080E+09,   0.00000000E+00,   0.00000000E+00,   0.21502446E-07,
 40645.000,   1,  0.31220605E+11,   0.00000000E+00,  -0.31567068E+11,   0.00000000E+00,   0.00000000E+00,   0.36107201E+09,   0.00000000E+00,   0.00000000E+00,   0.26689421E-07,
