$TDA Elev-Tailwater CBT-REV [m=>ft NAVD88],,
CY2011-2015,,12/31/2010
JDAY,ElevFT,
40781,81.3812361,
40782,80.77099986,
40783,80.98097362,
40784,80.49212846,
40785,79.82939878,
40786,79.61942502,
40787,80.08202346,
40788,79.62926754,
40789,79.38976622,
40790,79.6423909,
40791,79.01246962,
40792,79.8392413,
40793,79.6916035,
40794,79.57021242,
40795,79.8720497,
40796,80.26246966,
40797,79.47178722,
40798,78.53018614,
40799,79.78018618,
40800,78.89107854,
40801,78.83202342,
40802,79.04199718,
40803,79.7408161,
40804,79.77034366,
40805,80.08202346,
40806,79.85236466,
40807,79.72113106,
40808,79.7900287,
40809,79.3799237,
40810,79.41929378,
40811,78.91076358,
40812,79.16994994,
40813,79.91141978,
40814,79.80971374,
40815,79.5111573,
40816,79.11089482,
40817,79.45210218,
40818,78.5105011,
40819,78.84186594,
40820,78.54987118,
40821,78.83202342,
40822,79.1994775,
40823,79.79987122,
40824,79.16010742,
40825,79.11089482,
40826,77.92979242,
40827,79.20932002,
40828,79.34055362,
40829,78.66141974,
40830,79.22244338,
40831,79.5603699,
40832,79.71128854,
40833,79.34055362,
40834,79.13057986,
40835,78.12992366,
40836,77.8215247,
40837,78.71063234,
40838,79.54068486,
40839,79.58005494,
40840,78.63189218,
40841,79.27165598,
40842,79.9704749,
40843,76.90945118,
40844,78.02165594,
40845,79.93110482,
40846,79.6916035,
40847,78.60236462,
40848,78.91076358,
40849,80.21981874,
40850,78.85170846,
40851,78.88123602,
40852,78.75000242,
40853,78.6417347,
40854,78.83202342,
40855,78.8221809,
40856,79.8392413,
40857,79.04199718,
40858,78.9206061,
40859,79.41929378,
40860,79.3799237,
40861,79.3307111,
40862,79.72113106,
40863,79.4619447,
40864,79.88189222,
40865,79.99015994,
40866,79.43241714,
40867,79.20932002,
40868,79.43241714,
40869,79.37008118,
40870,79.6916035,
40871,79.72113106,
40872,79.08136726,
40873,78.58924126,
40874,79.01246962,
40875,78.91076358,
40876,79.22244338,
40877,79.17979246,
40878,79.35039614,
40879,79.1010523,
40880,79.08136726,
40881,79.38976622,
40882,79.54068486,
40883,79.59973998,
40884,79.89173474,
40885,80.1017085,
40886,79.6423909,
40887,79.53084234,
40888,79.89173474,
40889,79.78018618,
40890,79.39960874,
40891,79.7900287,
40892,79.98031742,
40893,79.50131478,
40894,78.75000242,
40895,79.11089482,
40896,78.70078982,
40897,78.22178718,
40898,78.72047486,
40899,78.97966122,
40900,78.8221809,
40901,79.0518397,
40902,79.20932002,
40903,78.71063234,
40904,78.99934626,
40905,79.45210218,
40906,79.07152474,
40907,80.00000246,
40908,80.1017085,
40909,79.59973998,
40910,79.70144602,
40911,78.8713935,
40912,80.35105234,
40913,80.7414723,
40914,79.52099982,
40915,79.96063238,
40916,79.35039614,
40917,78.12992366,
40918,79.1994775,
40919,79.58989746,
40920,79.98031742,
40921,78.88123602,
40922,79.14042238,
40923,78.54002866,
40924,78.1003961,
40925,79.20932002,
40926,79.30118354,
40927,79.96063238,
40928,80.40026494,
40929,81.18110486,
40930,80.96128858,
40931,79.71128854,
40932,80.41994998,
40933,80.44947754,
40934,79.61942502,
40935,79.79987122,
40936,80.08202346,
40937,80.1509211,
40938,79.45210218,
40939,79.62926754,
40940,80.00000246,
40941,79.32086858,
40942,79.38976622,
40943,79.08136726,
40944,79.04199718,
40945,78.95013366,
40946,78.67126226,
40947,79.6095825,
40948,79.2814985,
40949,78.9206061,
40950,78.79921502,
40951,79.88189222,
40952,80.27231218,
40953,80.22966126,
40954,80.13123606,
40955,80.50197098,
40956,80.77099986,
40957,79.4619447,
40958,79.5111573,
40959,79.47178722,
40960,80.04921506,
40961,80.49212846,
40962,80.50197098,
40963,80.98097362,
40964,80.7906849,
40965,80.82021246,
40966,80.84974002,
40967,81.04987126,
40968,81.32218098,
40969,79.30118354,
40970,79.98031742,
40971,81.23031746,
40972,80.23950378,
40973,80.68241718,
40974,80.5610261,
40975,80.54134106,
40976,80.7906849,
40977,80.9219185,
40978,80.34120982,
40979,79.95078986,
40980,79.8392413,
40981,80.49212846,
40982,82.1194251,
40983,82.08989754,
40984,81.32218098,
40985,81.99147234,
40986,81.91929386,
40987,82.27034374,
40988,82.39173482,
40989,81.18110486,
40990,82.74934638,
40991,82.91995006,
40992,83.21194482,
40993,84.26181362,
40994,84.0223123,
40995,82.91010754,
40996,83.39239102,
40997,84.46194486,
40998,85.00984514,
40999,86.60105254,
41000,82.86089494,
41001,84.5308425,
41002,84.77034382,
41003,84.83924146,
41004,84.33071126,
41005,83.74016006,
41006,85.72178742,
41007,85.62008138,
41008,84.0715249,
41009,83.31037002,
41010,83.15945138,
41011,84.69160366,
41012,84.04199734,
41013,83.99934642,
41014,84.47178738,
41015,84.13058002,
41016,83.85170862,
41017,84.11089498,
41018,84.44225982,
41019,84.52099998,
41020,85.13123622,
41021,85.0393727,
41022,86.25000266,
41023,86.51246986,
41024,85.96128874,
41025,87.12926778,
41026,89.05184002,
41027,88.00197122,
41028,89.10105262,
41029,88.11023894,
41030,86.43044886,
41031,87.15223366,
41032,87.6312363,
41033,87.9593203,
41034,87.9921287,
41035,87.38189246,
41036,87.56233866,
41037,85.9416037,
41038,85.7611575,
41039,85.06233858,
41040,85.61023886,
41041,86.8602389,
41042,86.45997642,
41043,85.68241734,
41044,84.16010758,
41045,86.00065882,
